regine_area;main_no;point_no;param_key;version_no_end;station_name;station_status_name;dt_start_date;dt_end_date;percent_missing_days;first_year_regulation;start_year;end_year;aktuell_avrenningskart;excluded_years;tilgang;latitude;longitude;utm_east_z33;utm_north_z33;regulation_part_area;regulation_part_reservoirs;transfer_area_in;transfer_area_out;drainage_basin_key;area_norway;area_total;comment;drainage_dens;dt_registration_date;dt_regul_date;gradient_1085;gradient_basin;gradient_river;height_minimum;height_hypso_10;height_hypso_20;height_hypso_30;height_hypso_40;height_hypso_50;height_hypso_60;height_hypso_70;height_hypso_80;height_hypso_90;height_maximum;length_km_basin;length_km_river;ocean_polar_angle;ocean_polar_distance;perc_agricul;perc_bog;perc_eff_bog;perc_eff_lake;perc_forest;perc_glacier;perc_lake;perc_mountain;perc_urban;prec_intens_max;utm_zone_gravi;utm_east_gravi;utm_north_gravi;utm_zone_inlet;utm_east_inlet;utm_north_inlet;br1_middelavrenning_1930_1960;br2_Tilsigsberegning;br3_Regional_flomfrekvensanalyse;br5_Regional_lavvannsanalyse;br6_Klimastudier;br7_Klimascenarier;br9_Flomvarsling;br11_FRIEND;br12_GRDC;br23_HBV;br24_middelavrenning_1961_1990;br26_TotalAvlop;br31_FlomserierPrim;br32_FlomserierSekundar;br33_Flomkart_aktive_ureg;br34_Hydrologisk_referanseserier_klimastudier;br38_Flomkart_aktive_ureg_periode;br39_Flomkart_nedlagt_stasjon
77;20;0;1001;1;Henjaelvi ved Flotande;Aktiv;2007-01-01 12:00:00.0000000;2017-11-06 12:00:00.0000000;0;NULL;NULL;NULL;ja;NULL;open;61,2322769165039;6,84914207458496;63172;6815964;0;0;0;0;2274;48,140998840332;48,1399993896484;Sammenligna med 72.5 pga. CCR og  lik grad av isbre og innsj°.;NULL;2008-01-07 00:00:00.0000000;NULL;59,8400001525879;NULL;49,8199996948242;355;691;774;828;867;922;1011;1083;1201;1347;1564;8,32999992370605;10,0299997329712;NULL;NULL;0;1,30999994277954;NULL;0,509999990463257;16,2000007629395;7,26000022888184;5,09000015258789;65,1600036621094;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL
77;21;0;1001;1;Grindselvi;Nedlagt;2007-09-18 12:00:00.0000000;2015-10-18 12:00:00.0000000;0,033864;NULL;NULL;NULL;ja;NULL;open;61,2099380493164;6,74570798873901;57335;6814187;0;0;0;0;2275;34,1209983825684;34,1199989318848;"Kommentar i Flomdata-rap: ""Utelatt etter befaring av felthydrolog.""";NULL;2008-01-07 00:00:00.0000000;NULL;99,7200012207031;NULL;92,4899978637695;276;627;758;832;897;968;1032;1098;1167;1251;1540;9,1899995803833;9,75;NULL;NULL;0;0,680000007152557;NULL;0;16,9799995422363;0,0299999993294477;0,180000007152557;79,9599990844727;0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;NULL
78;2;0;1001;1;Suphellerelv;Nedlagt;1965-08-09 12:00:00.0000000;1980-06-05 12:00:00.0000000;0,277008;NULL;NULL;NULL;nei;NULL;open;61,4343719482422;6,77682018280029;62149;6838836;NULL;NULL;NULL;NULL;1357;58,9599990844727;58,9599990844727;"Kommentar i Flomdata-rap: ""Svµrt dÕrlig kurvekvalitet pÕ flom. Utelatt etter kj°rt check rating-curve.""";NULL;2016-12-09 00:00:00.0000000;NULL;43,6100006103516;55,5099983215332;78,9199981689453;11;200;481;741;1016;1203;1281;1395;1505;1592;1732;12,6599998474121;9,84000015258789;301,679992675781;NULL;0;0;NULL;0,00999999977648258;20,3500003814697;37,310001373291;0;30,5300006866455;0;NULL;33;65538;6844497;33;67051;6846089;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y
78;3;0;1001;0;Bøyumselv;Nedlagt;1965-08-09 12:00:00.0000000;2018-02-28 12:00:00.0000000;0,005209;NULL;NULL;NULL;nei;NULL;open;61,4522857666016;6,74216222763062;60564;6841054;NULL;NULL;NULL;NULL;1358;39,7999992370605;39,7999992370605;Tilsvarende data som i 78.8.;NULL;2016-12-09 00:00:00.0000000;NULL;17,4400005340576;46,9599990844727;77,3499984741211;59;223;486;787;1031;1242;1364;1494;1580;1620;1731;10,6800003051758;5,34999990463257;301,679992675781;NULL;0;0;NULL;0,150000005960464;17,5900001525879;40,2000007629395;0;30,1499996185303;0;NULL;33;61284;6845895;33;60852;6846095;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
78;8;0;1001;0;Bøyumselv;Aktiv;1965-08-09 12:00:00.0000000;2018-08-11 12:00:00.0000000;0,00516502;NULL;NULL;NULL;ja;NULL;open;61,4486999511719;6,74268388748169;60541;6840653;0;0;0;0;1363;40,4599990844727;40,4599990844727;CCR;NULL;2016-12-09 00:00:00.0000000;NULL;16,3899993896484;47,3800010681152;74,9599990844727;40;206;457;759;1011;1225;1357;1487;1578;1619;1731;11,0799999237061;5,78000020980835;301,670013427734;NULL;0,219999998807907;0,340000003576279;NULL;0,150000005960464;19,4300003051758;41,4199981689453;0,319999992847443;31,3299999237061;0;NULL;33;61273;6845807;33;60852;6846095;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;Y;Y;Y;NULL;Y;Y;NULL;NULL
78;12;0;1001;1;Mel;Aktiv;1998-01-01 12:00:00.0000000;2017-12-26 12:00:00.0000000;14,986301;NULL;NULL;NULL;nei;NULL;open;61,3375587463379;6,56086683273315;49299;6829589;NULL;NULL;NULL;NULL;1364;53,9099998474121;53,9099998474121;For stor reguleringsgrad inn og ut.;NULL;2016-12-09 00:00:00.0000000;NULL;89,8300018310547;52,1800003051758;84,25;59;412;711;887;989;1071;1142;1220;1303;1388;1614;10,6999998092651;13,0900001525879;282,140014648438;NULL;0;0;NULL;0,689999997615814;14,8400001525879;11,1300001144409;5,55999994277954;63,0699996948242;0;NULL;33;49893;6834558;33;52870;6838462;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
79;1;0;1001;1;Nessadalsvatn;Nedlagt;1965-08-12 12:00:00.0000000;1983-08-10 12:00:00.0000000;18,712916;NULL;NULL;NULL;nei;NULL;open;61,1631393432617;6,28461217880249;32012;6812227;NULL;NULL;NULL;NULL;1365;29,8299999237061;29,8299999237061;unreliable, go for 79.3;NULL;2014-02-20 00:00:00.0000000;NULL;74,75;45,939998626709;82,4700012207031;291;438;577;697;762;822;887;951;1041;1130;1346;7,67999982833862;10,4899997711182;282,119995117188;NULL;0;0;NULL;1,3400000333786;23,4699993133545;0;3,34999990463257;67,0500030517578;0;NULL;33;34854;6813399;33;38691;6814376;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y
79;3;0;1001;1;Nessedalselv;Aktiv;1983-09-06 12:00:00.0000000;2018-08-11 12:00:00.0000000;0;NULL;NULL;NULL;ja;NULL;open;61,1598701477051;6,27838516235352;31630;6811910;0;0;0;0;1367;30;30;CCR;NULL;2014-02-20 00:00:00.0000000;NULL;72,0299987792969;45,9000015258789;79,4300003051758;289;431;574;693;760;820;886;949;1040;1129;1346;8,0600004196167;10,8999996185303;282,119995117188;NULL;0;0;NULL;1,33000004291534;23,3299999237061;0;3,32999992370605;66,6699981689453;0;NULL;33;34836;6813391;33;38691;6814376;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;NULL;NULL;Y;NULL;Y;Y;NULL;NULL
80;3;0;1001;1;Bøvatn;Nedlagt;1937-01-01 12:00:00.0000000;1987-08-14 12:00:00.0000000;0,086543;NULL;NULL;NULL;nei;NULL;open;61,199836730957;5,78617191314697;5946;6819968;NULL;NULL;NULL;NULL;1382;35,056999206543;35,060001373291;unreliable;NULL;2004-02-02 00:00:00.0000000;NULL;2,3199999332428;34,3499984741211;7,86999988555908;318;339;390;464;531;590;626;663;712;771;915;8,64000034332275;9,77999973297119;282,130004882813;NULL;0,230000004172325;0,370000004768372;NULL;4,51999998092651;27,6299991607666;0;11,789999961853;52,6100006103516;0;NULL;33;3385;6822371;33;3477;6824688;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
80;4;0;1001;1;Ullebøelv;Aktiv;1928-01-22 12:00:00.0000000;2018-08-05 12:00:00.0000000;0,514077;NULL;NULL;NULL;ja;NULL;open;61,2032432556152;5,78552579879761;5965;6820350;0;0;0;0;1383;8,3100004196167;8,3100004196167;CCR;NULL;2012-12-13 00:00:00.0000000;NULL;59,6599998474121;37,310001373291;70,1399993896484;335;519;580;610;634;661;695;732;771;805;886;5,65000009536743;5,88000011444092;282,130004882813;NULL;0;0,119999997317791;NULL;1,21000003814697;9,98999977111816;0;3,36999988555908;78,9400024414063;0;NULL;33;5904;6823508;33;6682;6825626;NULL;NULL;Y;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Y;Y;Y;NULL;NULL
